,1w
1999-01-01,3.245
1999-01-04,3.249
1999-01-05,3.241
1999-01-06,3.24
1999-01-07,3.237
1999-01-08,3.233
1999-01-11,3.232
1999-01-12,3.226
1999-01-13,3.214
1999-01-14,3.2
1999-01-15,3.161
1999-01-18,3.109
1999-01-19,3.061
1999-01-20,3.061
1999-01-21,3.07
1999-01-22,3.091
1999-01-25,3.123
1999-01-26,3.18
1999-01-27,3.147
1999-01-28,3.14
1999-01-29,3.136
1999-02-01,3.145
1999-02-02,3.158
1999-02-03,3.169
1999-02-04,3.174
1999-02-05,3.169
1999-02-08,3.168
1999-02-09,3.164
1999-02-10,3.157
1999-02-11,3.148
1999-02-12,3.135
1999-02-15,3.124
1999-02-16,3.104
1999-02-17,3.088
1999-02-18,3.081
1999-02-19,3.082
1999-02-22,3.087
1999-02-23,3.106
1999-02-24,3.116
1999-02-25,3.12
1999-02-26,3.126
1999-03-01,3.129
1999-03-02,3.134
1999-03-03,3.123
1999-03-04,3.111
1999-03-05,3.105
1999-03-08,3.095
1999-03-09,3.087
1999-03-10,3.073
1999-03-11,3.061
1999-03-12,3.036
1999-03-15,3.022
1999-03-16,3.02
1999-03-17,3.039
1999-03-18,3.032
1999-03-19,3.016
1999-03-22,3.017
1999-03-23,3.025
1999-03-24,3.021
1999-03-25,3.014
1999-03-26,3.013
1999-03-29,3.011
1999-03-30,3.012
1999-03-31,3.011
1999-04-01,3.001
1999-04-02,2.998
1999-04-05,2.996
1999-04-06,2.989
1999-04-07,3.012
1999-04-08,3.027
1999-04-09,2.717
1999-04-12,2.689
1999-04-13,2.655
1999-04-14,2.631
1999-04-15,2.618
1999-04-16,2.605
1999-04-19,2.589
1999-04-20,2.561
1999-04-21,2.546
1999-04-22,2.546
1999-04-23,2.557
1999-04-26,2.56
1999-04-27,2.56
1999-04-28,2.558
1999-04-29,2.555
1999-04-30,2.555
1999-05-03,2.556
1999-05-04,2.555
1999-05-05,2.554
1999-05-06,2.552
1999-05-07,2.551
1999-05-10,2.549
1999-05-11,2.548
1999-05-12,2.548
1999-05-13,2.546
1999-05-14,2.546
1999-05-17,2.55
1999-05-18,2.554
1999-05-19,2.617
1999-05-20,2.597
1999-05-21,2.575
1999-05-24,2.565
1999-05-25,2.565
1999-05-26,2.558
1999-05-27,2.555
1999-05-28,2.555
1999-05-31,2.555
1999-06-01,2.557
1999-06-02,2.561
1999-06-03,2.56
1999-06-04,2.562
1999-06-07,2.565
1999-06-08,2.565
1999-06-09,2.566
1999-06-10,2.569
1999-06-11,2.574
1999-06-14,2.576
1999-06-15,2.581
1999-06-16,2.594
1999-06-17,2.602
1999-06-18,2.616
1999-06-21,2.651
1999-06-22,2.647
1999-06-23,2.612
1999-06-24,2.604
1999-06-25,2.612
1999-06-28,2.63
1999-06-29,2.639
1999-06-30,2.629
1999-07-01,2.621
1999-07-02,2.624
1999-07-05,2.62
1999-07-06,2.616
1999-07-07,2.599
1999-07-08,2.593
1999-07-09,2.59
1999-07-12,2.588
1999-07-13,2.585
1999-07-14,2.588
1999-07-15,2.622
1999-07-16,2.651
1999-07-19,2.661
1999-07-20,2.66
1999-07-21,2.653
1999-07-22,2.589
1999-07-23,2.592
1999-07-26,2.597
1999-07-27,2.604
1999-07-28,2.6
1999-07-29,2.603
1999-07-30,2.603
1999-08-02,2.604
1999-08-03,2.603
1999-08-04,2.592
