;1w;2w;1m;2m;3m;6m;9m;12m
1999-01-01 00:00:00;3,245;0;3,254;3,249;3,245;3,233;3,22;3,213
1999-01-04 00:00:00;3,249;0;3,242;3,237;3,234;3,223;3,214;3,209
1999-01-05 00:00:00;3,241;0;3,233;3,227;3,222;3,204;3,193;3,187
1999-01-06 00:00:00;3,24;0;3,226;3,22;3,214;3,197;3,183;3,176
1999-01-07 00:00:00;3,237;0;3,224;3,214;3,206;3,179;3,167;3,158
1999-01-08 00:00:00;3,233;0;3,217;3,207;3,196;3,166;3,149;3,139
1999-01-11 00:00:00;3,232;0;3,214;3,205;3,193;3,156;3,139;3,126
1999-01-12 00:00:00;3,226;0;3,213;3,203;3,19;3,153;3,135;3,122
1999-01-13 00:00:00;3,214;0;3,206;3,196;3,183;3,141;3,121;3,107
1999-01-14 00:00:00;3,2;0;3,191;3,181;3,163;3,121;3,095;3,083
1999-01-15 00:00:00;3,161;0;3,159;3,148;3,134;3,085;3,058;3,044
1999-01-18 00:00:00;3,109;0;3,12;3,112;3,101;3,056;3,032;3,02
1999-01-19 00:00:00;3,061;0;3,074;3,065;3,056;3,018;2,994;2,984
1999-01-20 00:00:00;3,061;0;3,074;3,065;3,054;3,014;2,993;2,985
1999-01-21 00:00:00;3,07;0;3,074;3,065;3,056;3,017;2,998;2,99
1999-01-22 00:00:00;3,091;0;3,086;3,072;3,059;3,018;2,997;2,99
1999-01-25 00:00:00;3,123;0;3,111;3,091;3,069;3,016;2,992;2,981
1999-01-26 00:00:00;3,18;0;3,134;3,105;3,08;3,02;2,993;2,984
1999-01-27 00:00:00;3,147;0;3,126;3,102;3,08;3,02;2,995;2,986
1999-01-28 00:00:00;3,14;0;3,123;3,101;3,077;3,017;2,991;2,981
1999-01-29 00:00:00;3,136;0;3,119;3,097;3,074;3,011;2,989;2,981
1999-02-01 00:00:00;3,145;0;3,126;3,102;3,078;3,017;2,994;2,988
1999-02-02 00:00:00;3,158;0;3,142;3,114;3,091;3,028;3,006;3,004
1999-02-03 00:00:00;3,169;0;3,151;3,121;3,098;3,035;3,014;3,012
1999-02-04 00:00:00;3,174;0;3,157;3,126;3,105;3,043;3,022;3,02
1999-02-05 00:00:00;3,169;0;3,156;3,127;3,107;3,044;3,025;3,026
1999-02-08 00:00:00;3,168;0;3,158;3,133;3,113;3,053;3,033;3,036
1999-02-09 00:00:00;3,164;0;3,157;3,132;3,112;3,054;3,038;3,041
1999-02-10 00:00:00;3,157;0;3,151;3,128;3,109;3,052;3,036;3,039
1999-02-11 00:00:00;3,148;0;3,146;3,125;3,106;3,051;3,037;3,041
1999-02-12 00:00:00;3,135;0;3,135;3,119;3,1;3,049;3,034;3,039
1999-02-15 00:00:00;3,124;0;3,123;3,113;3,099;3,048;3,035;3,041
1999-02-16 00:00:00;3,104;0;3,113;3,104;3,092;3,044;3,032;3,038
1999-02-17 00:00:00;3,088;0;3,103;3,096;3,086;3,04;3,029;3,034
1999-02-18 00:00:00;3,081;0;3,093;3,089;3,079;3,035;3,025;3,031
1999-02-19 00:00:00;3,082;0;3,092;3,086;3,077;3,033;3,024;3,03
1999-02-22 00:00:00;3,087;0;3,093;3,086;3,075;3,029;3,019;3,025
1999-02-23 00:00:00;3,106;0;3,098;3,087;3,076;3,026;3,017;3,023
1999-02-24 00:00:00;3,116;0;3,102;3,092;3,079;3,027;3,017;3,023
1999-02-25 00:00:00;3,12;0;3,111;3,099;3,087;3,038;3,026;3,036
1999-02-26 00:00:00;3,126;0;3,12;3,109;3,098;3,055;3,048;3,071
1999-03-01 00:00:00;3,129;0;3,122;3,111;3,099;3,059;3,055;3,079
1999-03-02 00:00:00;3,134;0;3,13;3,121;3,115;3,1;3,105;3,148
1999-03-03 00:00:00;3,123;0;3,123;3,115;3,112;3,099;3,104;3,146
1999-03-04 00:00:00;3,111;0;3,115;3,113;3,111;3,102;3,106;3,151
1999-03-05 00:00:00;3,105;0;3,109;3,107;3,104;3,092;3,096;3,13
1999-03-08 00:00:00;3,095;0;3,1;3,098;3,093;3,068;3,067;3,097
1999-03-09 00:00:00;3,087;0;3,095;3,092;3,087;3,061;3,058;3,084
1999-03-10 00:00:00;3,073;0;3,086;3,085;3,081;3,055;3,051;3,078
1999-03-11 00:00:00;3,061;0;3,076;3,076;3,074;3,05;3,046;3,072
1999-03-12 00:00:00;3,036;0;3,047;3,048;3,047;3,024;3,019;3,029
1999-03-15 00:00:00;3,022;0;3,038;3,039;3,039;3,015;3,011;3,026
1999-03-16 00:00:00;3,02;0;3,036;3,036;3,036;3,015;3,009;3,027
1999-03-17 00:00:00;3,039;0;3,042;3,039;3,038;3,017;3,009;3,027
1999-03-18 00:00:00;3,032;0;3,037;3,036;3,032;3,01;3,001;3,019
1999-03-19 00:00:00;3,016;0;3,031;3,031;3,027;3,003;2,993;3,012
1999-03-22 00:00:00;3,017;0;3,025;3,024;3,02;2,999;2,991;3,009
1999-03-23 00:00:00;3,025;0;3,024;3,023;3,019;2,999;2,991;3,011
1999-03-24 00:00:00;3,021;0;3,02;3,018;3,014;2,995;2,987;3,01
1999-03-25 00:00:00;3,014;0;3,008;3,003;2,998;2,975;2,968;2,992
1999-03-26 00:00:00;3,013;0;3,004;2,997;2,991;2,967;2,962;2,985
1999-03-29 00:00:00;3,011;0;3,002;2,993;2,985;2,963;2,959;2,985
1999-03-30 00:00:00;3,012;0;2,998;2,988;2,981;2,956;2,968;2,978
1999-03-31 00:00:00;3,011;0;2,992;2,98;2,971;2,95;2,961;2,967
1999-04-01 00:00:00;3,001;0;2,963;2,951;2,942;2,92;2,937;2,939
1999-04-02 00:00:00;2,998;0;2,952;2,941;2,929;2,914;2,931;2,932
1999-04-05 00:00:00;2,996;0;2,951;2,941;2,929;2,912;2,93;2,93
1999-04-06 00:00:00;2,989;0;2,933;2,917;2,905;2,889;2,906;2,907
1999-04-07 00:00:00;3,012;0;2,929;2,913;2,9;2,883;2,9;2,903
1999-04-08 00:00:00;3,027;0;2,927;2,909;2,895;2,879;2,898;2,899
1999-04-09 00:00:00;2,717;0;2,66;2,659;2,66;2,676;2,713;2,719
1999-04-12 00:00:00;2,689;0;2,661;2,66;2,661;2,673;2,709;2,715
1999-04-13 00:00:00;2,655;0;2,647;2,649;2,651;2,663;2,704;2,713
1999-04-14 00:00:00;2,631;0;2,632;2,635;2,637;2,653;2,7;2,709
1999-04-15 00:00:00;2,618;0;2,622;2,625;2,628;2,647;2,697;2,707
1999-04-16 00:00:00;2,605;0;2,615;2,622;2,626;2,644;2,698;2,71
1999-04-19 00:00:00;2,589;0;2,606;2,615;2,621;2,637;2,695;2,707
1999-04-20 00:00:00;2,561;0;2,594;2,602;2,61;2,626;2,689;2,7
1999-04-21 00:00:00;2,546;0;2,582;2,595;2,601;2,618;2,68;2,692
1999-04-22 00:00:00;2,546;0;2,577;2,589;2,596;2,613;2,673;2,685
1999-04-23 00:00:00;2,557;0;2,578;2,589;2,594;2,613;2,671;2,683
1999-04-26 00:00:00;2,56;0;2,574;2,585;2,591;2,611;2,666;2,681
1999-04-27 00:00:00;2,56;0;2,573;2,583;2,59;2,608;2,666;2,677
1999-04-28 00:00:00;2,558;0;2,571;2,581;2,588;2,607;2,665;2,678
1999-04-29 00:00:00;2,555;0;2,569;2,578;2,585;2,605;2,664;2,678
1999-04-30 00:00:00;2,555;0;2,568;2,577;2,583;2,604;2,663;2,676
1999-05-03 00:00:00;2,556;0;2,568;2,577;2,583;2,604;2,665;2,68
1999-05-04 00:00:00;2,555;0;2,567;2,575;2,581;2,603;2,664;2,68
1999-05-05 00:00:00;2,554;0;2,566;2,574;2,581;2,604;2,666;2,684
1999-05-06 00:00:00;2,552;0;2,565;2,572;2,579;2,602;2,665;2,683
1999-05-07 00:00:00;2,551;0;2,566;2,573;2,581;2,605;2,672;2,691
1999-05-10 00:00:00;2,549;0;2,565;2,572;2,582;2,604;2,671;2,691
1999-05-11 00:00:00;2,548;0;2,564;2,571;2,579;2,602;2,669;2,688
1999-05-12 00:00:00;2,548;0;2,563;2,57;2,578;2,599;2,668;2,686
1999-05-13 00:00:00;2,546;0;2,56;2,568;2,577;2,594;2,663;2,68
1999-05-14 00:00:00;2,546;0;2,557;2,565;2,57;2,586;2,652;2,668
1999-05-17 00:00:00;2,55;0;2,56;2,567;2,575;2,592;2,659;2,678
1999-05-18 00:00:00;2,554;0;2,56;2,568;2,576;2,592;2,658;2,677
