;1w;1m;6m;12m
01/01/99 00:00;3,245;3,254;3,233;3,213
04/01/99 00:00;3,249;3,242;3,223;3,209
05/01/99 00:00;3,241;3,233;3,204;3,187
06/01/99 00:00;3,24;3,226;3,197;3,176
07/01/99 00:00;3,237;3,224;3,179;3,158
08/01/99 00:00;3,233;3,217;3,166;3,139
11/01/99 00:00;3,232;3,214;3,156;3,126
12/01/99 00:00;3,226;3,213;3,153;3,122
13/01/99 00:00;3,214;3,206;3,141;3,107
14/01/99 00:00;3,2;3,191;3,121;3,083
15/01/99 00:00;3,161;3,159;3,085;3,044
18/01/99 00:00;3,109;3,12;3,056;3,02
19/01/99 00:00;3,061;3,074;3,018;2,984
20/01/99 00:00;3,061;3,074;3,014;2,985
21/01/99 00:00;3,07;3,074;3,017;2,99
22/01/99 00:00;3,091;3,086;3,018;2,99
25/01/99 00:00;3,123;3,111;3,016;2,981
26/01/99 00:00;3,18;3,134;3,02;2,984
27/01/99 00:00;3,147;3,126;3,02;2,986
28/01/99 00:00;3,14;3,123;3,017;2,981
29/01/99 00:00;3,136;3,119;3,011;2,981
01/02/99 00:00;3,145;3,126;3,017;2,988
02/02/99 00:00;3,158;3,142;3,028;3,004
03/02/99 00:00;3,169;3,151;3,035;3,012
04/02/99 00:00;3,174;3,157;3,043;3,02
05/02/99 00:00;3,169;3,156;3,044;3,026
08/02/99 00:00;3,168;3,158;3,053;3,036
09/02/99 00:00;3,164;3,157;3,054;3,041
10/02/99 00:00;3,157;3,151;3,052;3,039
11/02/99 00:00;3,148;3,146;3,051;3,041
12/02/99 00:00;3,135;3,135;3,049;3,039
15/02/99 00:00;3,124;3,123;3,048;3,041
16/02/99 00:00;3,104;3,113;3,044;3,038
17/02/99 00:00;3,088;3,103;3,04;3,034
18/02/99 00:00;3,081;3,093;3,035;3,031
19/02/99 00:00;3,082;3,092;3,033;3,03
22/02/99 00:00;3,087;3,093;3,029;3,025
23/02/99 00:00;3,106;3,098;3,026;3,023
24/02/99 00:00;3,116;3,102;3,027;3,023
25/02/99 00:00;3,12;3,111;3,038;3,036
26/02/99 00:00;3,126;3,12;3,055;3,071
01/03/99 00:00;3,129;3,122;3,059;3,079
02/03/99 00:00;3,134;3,13;3,1;3,148
03/03/99 00:00;3,123;3,123;3,099;3,146
04/03/99 00:00;3,111;3,115;3,102;3,151
05/03/99 00:00;3,105;3,109;3,092;3,13
08/03/99 00:00;3,095;3,1;3,068;3,097
09/03/99 00:00;3,087;3,095;3,061;3,084
10/03/99 00:00;3,073;3,086;3,055;3,078
11/03/99 00:00;3,061;3,076;3,05;3,072
12/03/99 00:00;3,036;3,047;3,024;3,029
15/03/99 00:00;3,022;3,038;3,015;3,026
16/03/99 00:00;3,02;3,036;3,015;3,027
17/03/99 00:00;3,039;3,042;3,017;3,027
18/03/99 00:00;3,032;3,037;3,01;3,019
19/03/99 00:00;3,016;3,031;3,003;3,012
22/03/99 00:00;3,017;3,025;2,999;3,009
23/03/99 00:00;3,025;3,024;2,999;3,011
24/03/99 00:00;3,021;3,02;2,995;3,01
25/03/99 00:00;3,014;3,008;2,975;2,992
26/03/99 00:00;3,013;3,004;2,967;2,985
29/03/99 00:00;3,011;3,002;2,963;2,985
